homophily,minority_pc,replication,steps_run,converged,steps_to_converge,final_happy,final_population,final_pct_happy
0.1,0.1,1,6,True,6.0,362,362,100.0
0.1,0.1,0,16,True,16.0,358,358,100.0
0.1,0.1,3,12,True,12.0,357,357,100.0
0.1,0.2,0,3,True,3.0,367,367,100.0
0.1,0.1,2,52,True,52.0,351,351,100.0
0.1,0.2,1,6,True,6.0,355,355,100.0
0.1,0.2,3,5,True,5.0,367,367,100.0
0.1,0.2,2,20,True,20.0,371,371,100.0
0.1,0.2,4,4,True,4.0,361,361,100.0
0.1,0.3,1,2,True,2.0,363,363,100.0
0.1,0.3,0,4,True,4.0,362,362,100.0
0.1,0.3,2,2,True,2.0,359,359,100.0
0.1,0.3,4,1,True,1.0,351,351,100.0
0.1,0.3,3,5,True,5.0,368,368,100.0
0.1,0.4,0,1,True,1.0,370,370,100.0
0.1,0.4,1,2,True,2.0,356,356,100.0
0.1,0.4,2,1,True,1.0,363,363,100.0
0.1,0.4,3,3,True,3.0,359,359,100.0
0.1,0.4,4,1,True,1.0,359,359,100.0
0.1,0.5,1,1,True,1.0,362,362,100.0
0.1,0.5,0,1,True,1.0,363,363,100.0
0.1,0.5,2,2,True,2.0,367,367,100.0
0.1,0.5,3,1,True,1.0,358,358,100.0
0.1,0.5,4,1,True,1.0,357,357,100.0
0.1,0.1,4,200,False,,366,367,99.72752043596729
0.3,0.1,0,200,False,,322,357,90.19607843137256
0.3,0.1,2,200,False,,335,346,96.82080924855492
0.3,0.1,1,200,False,,325,360,90.27777777777779
0.3,0.1,3,200,False,,327,353,92.63456090651559
0.3,0.2,0,200,False,,322,362,88.95027624309392
0.3,0.1,4,200,False,,328,361,90.85872576177285
0.3,0.2,1,200,False,,316,362,87.29281767955801
0.3,0.2,2,200,False,,313,353,88.6685552407932
0.3,0.2,3,200,False,,327,360,90.83333333333333
0.3,0.2,4,200,False,,313,347,90.20172910662824
0.3,0.3,0,200,False,,338,354,95.48022598870057
0.3,0.3,1,200,False,,327,363,90.08264462809917
0.3,0.3,2,200,False,,327,364,89.83516483516483
0.3,0.4,0,8,True,8.0,349,349,100.0
0.3,0.3,3,200,False,,344,372,92.47311827956989
0.3,0.3,4,200,False,,333,356,93.53932584269663
0.3,0.4,3,30,True,30.0,363,363,100.0
0.3,0.4,4,26,True,26.0,353,353,100.0
0.3,0.5,0,20,True,20.0,372,372,100.0
0.3,0.5,1,13,True,13.0,351,351,100.0
0.3,0.5,3,8,True,8.0,350,350,100.0
0.3,0.5,2,15,True,15.0,366,366,100.0
0.3,0.5,4,7,True,7.0,344,344,100.0
0.3,0.4,1,200,False,,353,359,98.32869080779945
0.3,0.4,2,200,False,,332,365,90.95890410958904
0.5,0.1,0,200,False,,350,365,95.8904109589041
0.5,0.1,1,200,False,,336,365,92.05479452054794
0.5,0.1,2,200,False,,338,352,96.02272727272727
0.5,0.3,1,23,True,23.0,353,353,100.0
0.5,0.3,2,15,True,15.0,353,353,100.0
0.5,0.1,4,200,False,,340,359,94.70752089136491
0.5,0.1,3,200,False,,331,354,93.50282485875707
0.5,0.4,0,17,True,17.0,362,362,100.0
0.5,0.4,1,22,True,22.0,366,366,100.0
0.5,0.2,0,200,False,,363,369,98.3739837398374
0.5,0.4,2,12,True,12.0,356,356,100.0
0.5,0.5,1,15,True,15.0,362,362,100.0
0.5,0.5,0,14,True,14.0,364,364,100.0
0.5,0.4,4,20,True,20.0,367,367,100.0
0.5,0.4,3,23,True,23.0,368,368,100.0
0.5,0.5,4,10,True,10.0,350,350,100.0
0.5,0.5,3,11,True,11.0,373,373,100.0
0.5,0.5,2,19,True,19.0,360,360,100.0
0.7,0.1,2,52,True,52.0,362,362,100.0
0.7,0.1,0,78,True,78.0,370,370,100.0
0.5,0.2,4,200,False,,349,356,98.03370786516854
0.7,0.1,3,49,True,49.0,368,368,100.0
0.5,0.2,1,200,False,,336,360,93.33333333333333
0.5,0.2,3,200,False,,336,364,92.3076923076923
0.7,0.1,1,69,True,69.0,368,368,100.0
0.7,0.3,0,56,True,56.0,353,353,100.0
0.5,0.3,0,200,False,,352,358,98.32402234636871
0.7,0.2,1,50,True,50.0,360,360,100.0
0.7,0.2,2,73,True,73.0,344,344,100.0
0.7,0.2,0,80,True,80.0,358,358,100.0
0.5,0.2,2,200,False,,323,363,88.98071625344353
0.7,0.1,4,138,True,138.0,359,359,100.0
0.7,0.2,4,68,True,68.0,355,355,100.0
0.5,0.3,4,200,False,,342,363,94.21487603305785
0.5,0.3,3,200,False,,355,357,99.43977591036415
0.7,0.2,3,87,True,87.0,360,360,100.0
0.7,0.3,2,77,True,77.0,367,367,100.0
0.7,0.3,3,48,True,48.0,350,350,100.0
0.7,0.3,1,115,True,115.0,359,359,100.0
0.7,0.4,0,72,True,72.0,356,356,100.0
0.7,0.4,1,80,True,80.0,353,353,100.0
0.7,0.3,4,103,True,103.0,361,361,100.0
0.7,0.4,3,89,True,89.0,368,368,100.0
0.7,0.5,3,69,True,69.0,359,359,100.0
0.7,0.5,4,76,True,76.0,366,366,100.0
0.7,0.5,1,88,True,88.0,359,359,100.0
0.7,0.4,2,129,True,129.0,364,364,100.0
0.7,0.5,0,131,True,131.0,355,355,100.0
0.7,0.5,2,200,False,,357,365,97.80821917808218
0.7,0.4,4,200,False,,360,366,98.36065573770492
0.9,0.1,3,200,False,,213,352,60.51136363636363
0.9,0.1,1,200,False,,214,361,59.2797783933518
0.9,0.1,4,200,False,,171,354,48.30508474576271
0.9,0.2,2,200,False,,98,357,27.450980392156865
0.9,0.1,2,200,False,,162,361,44.87534626038781
0.9,0.2,0,200,False,,82,359,22.841225626740947
0.9,0.1,0,200,False,,145,372,38.97849462365591
0.9,0.2,4,200,False,,63,363,17.355371900826448
0.9,0.2,3,200,False,,46,352,13.068181818181818
0.9,0.2,1,200,False,,101,372,27.1505376344086
0.9,0.3,0,200,False,,35,358,9.776536312849162
0.9,0.3,1,200,False,,40,363,11.019283746556475
0.9,0.3,4,200,False,,51,350,14.571428571428571
0.9,0.3,3,200,False,,22,358,6.145251396648044
0.9,0.4,0,200,False,,9,362,2.4861878453038675
0.9,0.4,4,200,False,,16,347,4.610951008645533
0.9,0.3,2,200,False,,39,366,10.655737704918032
0.9,0.4,3,200,False,,17,362,4.696132596685083
0.9,0.4,1,200,False,,10,358,2.793296089385475
0.9,0.5,0,200,False,,5,360,1.3888888888888888
0.9,0.4,2,200,False,,10,364,2.7472527472527473
0.9,0.5,1,200,False,,2,363,0.5509641873278237
0.9,0.5,2,200,False,,9,352,2.556818181818182
0.9,0.5,4,200,False,,1,355,0.28169014084507044
0.9,0.5,3,200,False,,12,362,3.314917127071823
